galaxy,file,rho0_Msun_per_kpc3,r_core_kpc,M_vortex_Msun,M_baryon_Msun,v_obs_outer_kms,v_model_outer_kms,error_pct,plot
NGC6503,NGC6503_rotmod.dat,101740449885.50673,0.051945472757730246,78435762401.63676,16548534761.609032,115.0,134.7600569177543,17.182658189351564,qfst_plots\qfst_sparc_NGC6503.png
NGC2403,NGC2403_rotmod.dat,160541624209.14853,0.05000053949869398,104374629352.83322,17967944378.839012,134.0,162.1009464842454,20.97085558525777,qfst_plots\qfst_sparc_NGC2403.png
NGC3198,NGC3198_rotmod.dat,3777911.672448401,21.70951226870476,445411344221.3853,62384725618.71359,149.0,202.2201778527754,35.71824016964793,qfst_plots\qfst_sparc_NGC3198.png
NGC7331,NGC7331_rotmod.dat,10000.000000018712,0.050000000000000225,10568.04281728725,286009109034.4603,238.0,213.7920104247441,10.171424191283995,qfst_plots\qfst_sparc_NGC7331.png
DDO154,DDO154_rotmod.dat,37142780820.335815,0.050000005528809975,6329817709.535125,390632815.8657719,46.3,69.40830718906061,49.90995073231234,qfst_plots\qfst_sparc_DDO154.png
IC2574,IC2574_rotmod.dat,43561769203.19973,0.05286682219513699,14346382140.680004,3122504854.3857985,55.9,83.42409407662734,49.23809316033514,qfst_plots\qfst_sparc_IC2574.png
NGC5055,NGC5055_rotmod.dat,10000.000000462234,0.05000000000000441,16922.52959789616,173801479118.82397,179.5,132.7746788739147,26.03081956884975,qfst_plots\qfst_sparc_NGC5055.png
