galaxy,file,M_b,R_scale,s_rho,s_r,rho0_qfst,r_core_qfst,chi2_qfst,chi2red_qfst,rho_s_nfw,r_s_nfw,chi2_nfw,chi2red_nfw,N_points,plot
CamB,CamB_rotmod.dat,112394767.82493946,0.9,0.26820067555784566,0.9594111221963442,1554027.190588442,5.631414915222764,55.891537767668346,7.984505395381192,0.12641881046329217,0.05000005760757192,47.95888205613367,6.851268865161953,9,qfst_hybrid_plots\CamB_hybrid_compare.png
D512-2,D512-2_rotmod.dat,417340446.7705232,1.92,1.1309062127587823,0.8147264527406534,7255212.214299421,4.782165425898979,10.995277912197638,5.497638956098819,1089649.318707176,12.638268426982208,0.3919319303659716,0.1959659651829858,4,qfst_hybrid_plots\D512-2_hybrid_compare.png
D564-8,D564-8_rotmod.dat,77150562.58154926,1.53,0.9107302259490843,0.6160222473376892,5125125.373669448,3.6158397495172934,2.9993175960100147,0.7498293990025037,30703.561103957243,199.99999992217116,3.312106032464295,0.8280265081160737,6,qfst_hybrid_plots\D564-8_hybrid_compare.png
D631-7,D631-7_rotmod.dat,658709784.2447227,1.8,1.0009469634186288,1.0586253822778946,6653031.644276477,6.213768664413248,23.195589551659864,1.6568278251185617,71009.60494182323,199.99999999999977,104.87110973554789,7.490793552539135,16,qfst_hybrid_plots\D631-7_hybrid_compare.png
DDO064,DDO064_rotmod.dat,545773143.871749,1.88,2.883652970518313,0.8747172146557446,18889096.63637648,5.1342906656510845,8.132101223690523,0.6776751019742102,108435.70858572828,199.99999999999707,6.986075484311344,0.5821729570259454,14,qfst_hybrid_plots\DDO064_hybrid_compare.png
DDO154,DDO154_rotmod.dat,390632815.8657719,2.96,2.8108808885421417,0.3339030042524386,17940582.04134698,1.9598963519208494,6.230799636857447,0.6230799636857447,328573.6834946218,49.086091635974114,23.512427834198018,2.351242783419802,12,qfst_hybrid_plots\DDO154_hybrid_compare.png
DDO161,DDO161_rotmod.dat,2978338096.2107987,5.34,0.4812876292681759,1.0968526850670919,3596478.3924564524,6.438149847949144,8.77558685343028,0.3026064432217338,51992.88473955631,199.99999999999974,46.636812797587886,1.6081659585375134,31,qfst_hybrid_plots\DDO161_hybrid_compare.png
DDO168,DDO168_rotmod.dat,752060069.2634842,2.47,2.3635589070535956,0.5504931460176727,15872405.916403027,3.231206353033543,17.41840693324538,2.1773008666556724,98557.34131847578,199.9999999977024,40.10070093872298,5.0125876173403725,10,qfst_hybrid_plots\DDO168_hybrid_compare.png
DDO170,DDO170_rotmod.dat,2423360617.8879323,6.35,1.6866001383866616,0.43658053781985784,12403189.029518757,2.56257833111887,10.504448909293211,1.7507414848822018,569100.7463673388,26.685738108818764,5.831987429116547,0.9719979048527579,8,qfst_hybrid_plots\DDO170_hybrid_compare.png
ESO079-G014,ESO079-G014_rotmod.dat,66171727387.72523,10.04,0.989554328198298,1.386880734098983,9406889.250480462,8.140515229551431,22.476119379612346,1.7289322599701804,154655.85830326827,199.99999999850445,42.074336214569634,3.236487401120741,15,qfst_hybrid_plots\ESO079-G014_hybrid_compare.png
ESO116-G012,ESO116-G012_rotmod.dat,7532770411.025998,3.68,2.3686093750208483,0.7736523242891643,19021573.143037207,4.541074350092045,11.00996432134963,0.84692033241151,186397.73539076195,199.99999999999517,31.20709599725407,2.4005458459426205,15,qfst_hybrid_plots\ESO116-G012_hybrid_compare.png
ESO444-G084,ESO444-G084_rotmod.dat,290668575.4477334,1.81,7.8904727632774705,0.32653373916573125,49218990.92471667,1.9166412880974033,28.972821835332727,5.794564367066545,2266914.1074370486,21.182336493579474,2.9197473838083985,0.5839494767616797,7,qfst_hybrid_plots\ESO444-G084_hybrid_compare.png
ESO563-G021,ESO563-G021_rotmod.dat,382574511234.0,12.06,0.5671054666396218,3.1467315268702936,6177626.994295151,18.470237049214845,246.61688857774953,8.807746020633912,252957.1359725287,199.99999999741325,329.7666828860283,11.777381531643869,30,qfst_hybrid_plots\ESO563-G021_hybrid_compare.png
F561-1,F561-1_rotmod.dat,7412943144.505325,8.06,0.48162809633933945,0.2826351581776705,3862995.803075672,1.6589716426097443,7.707434054117084,1.926858513529271,0.012103925182600506,0.05000000053546684,3.7273968873168943,0.9318492218292236,6,qfst_hybrid_plots\F561-1_hybrid_compare.png
F563-1,F563-1_rotmod.dat,8113062367.671552,11.84,4.039711621432617,0.492457166346871,32629101.869027924,2.8905550160035167,10.605982254099365,0.7070654836066244,2586996.801984158,20.591104113503086,16.020261421419985,1.0680174280946657,17,qfst_hybrid_plots\F563-1_hybrid_compare.png
F563-V1,F563-V1_rotmod.dat,1740395505.430603,5.24,0.4504181182149718,0.2694627369769792,3228325.6667385274,1.5816540386097355,4.650729642011566,1.1626824105028915,209612028.76372093,0.09443791269676664,0.8563793875862966,0.21409484689657415,6,qfst_hybrid_plots\F563-V1_hybrid_compare.png
F563-V2,F563-V2_rotmod.dat,7286328539.571201,7.86,4.666943520810567,0.6187769548209335,37382143.87535847,3.6320089396062976,10.954565765091592,1.369320720636449,2206827.0095540094,32.862942715387284,8.367061142683367,1.0458826428354209,10,qfst_hybrid_plots\F563-V2_hybrid_compare.png
F565-V2,F565-V2_rotmod.dat,2217729614.668812,6.29,1.5887931062084417,0.8487496480845438,11603777.464239208,4.981869937646334,2.278415640404155,0.455683128080831,132468.53765571868,199.9999999991711,1.9792251227226803,0.3958450245445361,7,qfst_hybrid_plots\F565-V2_hybrid_compare.png
F567-2,F567-2_rotmod.dat,3743563179.6898484,7.67,0.7323593288613723,0.5629899488968769,5570648.052660841,3.30455830872642,1.559224650536041,0.5197415501786803,869672.6434934594,12.611387802429897,1.2266769752832587,0.4088923250944196,5,qfst_hybrid_plots\F567-2_hybrid_compare.png
F568-1,F568-1_rotmod.dat,14592068479.957207,9.24,4.07975933436826,0.6627156261192961,34488767.48584817,3.8899139014939994,6.109508122694157,0.6109508122694157,1466538.95827294,47.641209831983005,8.423914468445801,0.8423914468445801,12,qfst_hybrid_plots\F568-1_hybrid_compare.png
F568-3,F568-3_rotmod.dat,16383648081.983591,10.17,1.3389622781208348,0.8684730872380219,11421295.83656802,5.097639774850378,17.57334681804592,1.09833417612787,103274.62023255555,199.9999999996513,49.01578868290472,3.063486792681545,18,qfst_hybrid_plots\F568-3_hybrid_compare.png
F568-V1,F568-V1_rotmod.dat,9817796411.28596,9.0,6.211067684387518,0.46049314190164337,50915545.2861917,2.7029371326509217,8.259647420406067,0.6353574938773897,13886691.641411318,8.630105611515152,2.5333223970251177,0.19487095361731674,15,qfst_hybrid_plots\F568-V1_hybrid_compare.png
F571-8,F571-8_rotmod.dat,11568624595.883078,2.33,0.9856126683977916,2.2535596716210993,8183184.951074181,13.227623959642372,501.5229568622686,45.592996078388055,157881.49858191877,199.99999999999994,619.368824976042,56.30625681600382,13,qfst_hybrid_plots\F571-8_hybrid_compare.png
F571-V1,F571-V1_rotmod.dat,4853238126.997016,7.78,1.1879707756980558,0.7870899408716595,9220168.9851794,4.619948560216397,1.4560776459554863,0.2912155291910973,548512.9265347704,42.51451551978953,1.6342470528946595,0.3268494105789319,7,qfst_hybrid_plots\F571-V1_hybrid_compare.png
F574-1,F574-1_rotmod.dat,10019950906.806553,7.99,3.2643517165322153,0.46150945934684906,26802059.1225584,2.7089025682052084,7.064953759569041,0.5887461466307534,2086434.6298304265,20.37918046916258,18.232371630120547,1.5193643025100456,14,qfst_hybrid_plots\F574-1_hybrid_compare.png
F574-2,F574-2_rotmod.dat,5319899301.110479,8.65,0.4990551305098859,0.3075272347356594,3901005.6932221972,1.8050796123387465,7.960283519632822,2.653427839877607,0.12683808606379898,0.050000025116593586,3.3569881462121556,1.1189960487373851,5,qfst_hybrid_plots\F574-2_hybrid_compare.png
F579-V1,F579-V1_rotmod.dat,18092197188.28575,7.37,5.029134718957346,0.3858295203357563,43229909.37136308,2.264687228743037,27.390427480997516,2.2825356234164595,51025949.146683276,3.5125344062304875,2.261981092821535,0.18849842440179457,14,qfst_hybrid_plots\F579-V1_hybrid_compare.png
F583-1,F583-1_rotmod.dat,7017795986.516475,10.29,2.236630569105264,0.5409004017571634,17863232.588083826,3.174900227477251,8.83506174866463,0.38413311950715784,706412.5743687098,38.242886185914536,34.51926688840519,1.5008376908002257,25,qfst_hybrid_plots\F583-1_hybrid_compare.png
