galaxy,M_b,R_scale,rho0,r_core,v_obs_outer,v_model_outer,err_pct,plot
NGC6503,16548534761.609032,2.28,2820718.2326291646,16.15371132364589,115.0,116.94388660470949,1.6903361780082524,qfst_global_plots\global_NGC6503.png
NGC2403,17967944378.839012,3.59,2794914.0033458276,16.153711323646657,134.0,114.48287570745312,14.56501812876633,qfst_global_plots\global_NGC2403.png
NGC3198,62384725618.71359,6.74,2432189.296319213,16.153711323647723,149.0,150.95001945953524,1.308737892305531,qfst_global_plots\global_NGC3198.png
NGC7331,286009109034.4603,4.27,2051843.7780720901,16.15371132364695,238.0,238.87996064491813,0.3697313634109783,qfst_global_plots\global_NGC7331.png
DDO154,390632815.8657719,2.96,4286071.199576141,16.15371132364633,46.3,42.66716022728909,7.8463062045592,qfst_global_plots\global_DDO154.png
IC2574,3122504854.3857985,6.54,3398157.3070609495,16.153711323647673,55.9,65.53748376383875,17.240579183969146,qfst_global_plots\global_IC2574.png
NGC5055,173801479118.82397,5.03,2169218.3523404323,16.153711323647226,179.5,184.3164425738381,2.6832549157872356,qfst_global_plots\global_NGC5055.png
