galaxy,chi2,N,chi2_red
UGC01230,9.920108639898517,11,1.1022342933220575
F568-3,17.57334681804592,18,1.09833417612787
UGC06446,15.605132054458556,17,1.0403421369639037
UGC07151,9.24466539194831,11,1.0271850435498122
NGC4100,22.495180748578427,24,1.022508215844474
UGC06786,42.58275870140072,45,0.9902967139860632
UGC12506,28.338629828134405,31,0.9771941320046347
UGC09992,2.8694304650618365,5,0.9564768216872789
UGC07577,6.602296394567559,9,0.943185199223937
NGC3992,6.579218969234014,9,0.9398884241762877
UGC07603,9.180845286225555,12,0.9180845286225555
NGC1003,29.793653737559396,36,0.8762839334576293
NGC3198,34.79816574381441,43,0.8487357498491319
ESO116-G012,11.00996432134963,15,0.84692033241151
UGC07608,4.907503417591209,8,0.8179172362652015
UGC06983,12.07463333063358,17,0.804975555375572
UGC00891,2.255797061257062,5,0.751932353752354
D564-8,2.9993175960100147,6,0.7498293990025037
NGC0055,13.851514205452675,21,0.7290270634448777
UGC05986,9.289035290134148,15,0.7145411761641652
F563-1,10.605982254099365,17,0.7070654836066244
DDO064,8.132101223690523,14,0.6776751019742102
NGC6674,8.65579201114798,15,0.6658301547036908
F568-V1,8.259647420406067,15,0.6353574938773897
NGC3741,12.00137758192873,21,0.6316514516804596
UGC06930,5.0444130454324645,10,0.6305516306790581
DDO154,6.23079963685746,12,0.623079963685746
F568-1,6.109508122694157,12,0.6109508122694157
F574-1,7.064953759569041,14,0.5887461466307534
UGC06917,5.272455307731354,11,0.585828367525706
UGC05829,5.271022188525845,11,0.5856691320584272
UGC04499,4.09307846035985,9,0.5847254943371214
UGC02023,1.6134384114606626,5,0.5378128038202209
F583-4,5.21063169820515,12,0.521063169820515
F567-2,1.559224650536041,5,0.5197415501786803
IC2574,15.898337256498937,34,0.4968230392655918
UGCA444,16.842160307816012,36,0.49535765611223564
UGC06399,3.3834590817585566,9,0.4833512973940795
UGC12632,6.144037237415456,15,0.47261824903195815
NGC4183,9.661479502685143,23,0.46007045250881634
F565-V2,2.278415640404155,7,0.455683128080831
UGC07323,3.2849569944004697,10,0.4106196243000587
UGC04278,9.350099659789747,25,0.4065260721647716
KK98-251,5.058053344381101,15,0.3890810264908539
UGC07089,3.884086404179418,12,0.38840864041794176
F583-1,8.83506174866463,25,0.38413311950715784
NGC0300,8.800979675993645,25,0.38265129026059325
UGC07866,1.7981046898987398,7,0.359620937979748
UGC07125,3.916451763560087,13,0.3560410694145534
NGC0100,6.630959780625088,21,0.3489978831907941
UGC01281,7.4257842328934665,25,0.32286018403884637
DDO161,8.77558685343028,31,0.3026064432217338
F571-V1,1.4560776459554863,7,0.2912155291910973
NGC2841,12.461886200931232,50,0.2596226291860673
UGC05414,1.036250720787211,6,0.25906268019680273
UGC07524,7.448177060185114,31,0.2568336917305212
UGC07559,1.2252097962123392,7,0.24504195924246783
UGC00128,4.415202471357807,22,0.22076012356789035
UGC05005,1.9438134082231358,11,0.2159792675803484
NGC3109,4.967028804691924,25,0.21595777411704017
UGC05750,1.6339637929081758,11,0.18155153254535286
