galaxy,chi2,chi2_red,N,rho0,r_core
UGC11914,107.38322916262332,1.704495700994021,65,4433070.336257529,2.509027237862821
D631-7,23.195589551659864,1.6568278251185617,16,6653031.644276477,6.213768664413248
NGC6015,67.98322449549023,1.618648202273577,44,7056802.539110076,8.855612863762335
UGC07690,8.003442819146324,1.6006885638292647,7,10090180.97963846,4.4253465007804405
NGC0289,41.50233893182214,1.5962438050700822,28,4423933.606314784,10.393257214279329
NGC4214,18.966681218236673,1.5805567681863895,14,35737316.61230513,2.8530879825918003
NGC2366,37.32220964191335,1.5550920684130565,26,12831376.397779085,2.5599030092247674
UGC12732,21.635936792604348,1.5454240566145963,16,20431578.950629465,2.8344886515824634
NGC2403,104.75261953802685,1.4753890075778429,73,8903453.710756829,7.805931770340549
UGC03205,64.04875729200764,1.3923642889566878,48,4135447.057115826,16.34868743672894
F563-V2,10.954565765091592,1.369320720636449,10,37382143.87535847,3.6320089396062976
UGC02487,20.523338999326977,1.3682225999551318,17,21829236.75703725,9.208717404489253
UGC06923,5.467667297089519,1.3669168242723797,6,9653139.197237153,6.043126488887265
NGC7793,57.98880473406808,1.3179273803197291,46,6334695.510706822,6.4182214223349625
NGC2976,32.82910948991037,1.313164379596415,27,3637570.348666264,5.768457830652685
NGC2915,36.67614220380506,1.3098622215644664,30,48859893.93832279,1.9074791165502252
NGC5907,21.94038775909384,1.290611044652579,19,5160323.962550663,10.656965578568808
UGC04483,7.628700385992129,1.2714500643320215,8,18306075.830154017,5.81014371204587
UGC05999,3.8039064214453213,1.2679688071484405,5,11333767.92545434,4.5708055311695865
NGC4068,4.991256520862184,1.247814130215546,6,6085115.984689001,6.136379829096253
UGC02885,21.054074263453245,1.2384749566737203,19,3661567.690659538,19.603469240220328
UGCA281,6.157608527771818,1.2315217055543637,7,25671803.449505016,5.956067027991463
UGC08490,34.42334560594395,1.229405200212284,30,73080362.45901665,1.333770832119673
NGC3917,18.161470718635215,1.210764714575681,17,14619736.670847202,4.256617565375585
NGC3972,9.53816233373609,1.1922702917170112,10,12962650.927927963,5.529841298833652
F563-V1,4.650729642011575,1.1626824105028937,6,3228325.666738528,1.5816540386097355
UGC01230,9.920108639898517,1.1022342933220575,11,19964463.50485404,3.2239286799926155
F568-3,17.57334681804592,1.09833417612787,18,11421295.83656802,5.097639774850378
UGC06446,15.605132054458556,1.0403421369639037,17,55080053.461577065,1.6328224006828085
UGC07151,9.24466539194831,1.0271850435498122,11,19328545.53251926,2.471050676593976
NGC4100,22.495180748578427,1.022508215844474,24,7591866.765245626,7.258271442387631
UGC06786,42.58275870140072,0.9902967139860632,45,14467537.206665082,8.768510152424586
UGC12506,28.338629828134405,0.9771941320046347,31,64081769.6230474,3.385963166766123
UGC09992,2.8694304650618365,0.9564768216872789,5,4051378.3932360015,4.318056254316547
UGC07577,6.602296394567559,0.943185199223937,9,2458178.690803,5.600091919263334
NGC3992,6.579218969234014,0.9398884241762877,9,12002809.892789232,8.054964325201846
UGC07603,9.180845286225555,0.9180845286225555,12,44106424.75177372,1.7739207493593796
NGC1003,29.793653737559396,0.8762839334576293,36,5047756.462370343,7.839946710974334
NGC3198,34.79816574381441,0.8487357498491319,43,4604929.488742447,9.843895717127182
ESO116-G012,11.00996432134963,0.84692033241151,15,19021573.143037207,4.541074350092045
UGC07608,4.907503417591209,0.8179172362652015,8,17626195.02861434,4.715953989884344
UGC06983,12.07463333063358,0.804975555375572,17,35856902.66927054,2.5946300248077256
UGC00891,2.255797061257062,0.751932353752354,5,9812601.748742435,4.076273010404767
D564-8,2.9993175960100147,0.7498293990025037,6,5125125.373669448,3.615839749517293
NGC0055,13.851514205452675,0.7290270634448777,21,5834935.05897908,5.511581814940534
UGC05986,9.289035290134148,0.7145411761641652,15,32904483.14564752,3.1760997800916893
F563-1,10.605982254099365,0.7070654836066244,17,32629101.869027924,2.8905550160035167
DDO064,8.132101223690523,0.6776751019742102,14,18889096.63637648,5.1342906656510845
NGC6674,8.65579201114798,0.6658301547036908,15,13878152.97340002,7.860228461507488
F568-V1,8.259647420406067,0.6353574938773897,15,50915545.2861917,2.7029371326509217
NGC3741,12.00137758192873,0.6316514516804596,21,19673378.94089973,1.8961477868721848
UGC06930,5.0444130454324645,0.6305516306790581,10,14152065.363022797,3.804938134461864
DDO154,6.23079963685746,0.623079963685746,12,17940582.04134698,1.9598963519208492
F568-1,6.109508122694157,0.6109508122694157,12,34488767.48584817,3.889913901494
F574-1,7.064953759569041,0.5887461466307534,14,26802059.1225584,2.7089025682052084
UGC06917,5.272455307731354,0.585828367525706,11,20561393.379634637,3.5271444439408794
UGC05829,5.271022188525845,0.5856691320584272,11,10167659.094914155,3.589365767502391
UGC04499,4.09307846035985,0.5847254943371214,9,14153252.08439463,3.0162392931440483
UGC02023,1.6134384114606626,0.5378128038202209,5,6304684.217023906,5.92586695262778
F583-4,5.21063169820515,0.521063169820515,12,8090990.80758816,4.264392633713218
F567-2,1.559224650536041,0.5197415501786803,5,5570648.052660841,3.30455830872642
IC2574,15.898337256498937,0.4968230392655918,34,2799489.6606229325,8.677199062405943
UGCA444,16.842160307816012,0.49535765611223564,36,24628545.728553534,1.4923583782878194
UGC06399,3.3834590817585566,0.4833512973940795,9,17792041.807634972,3.605490448273956
UGC12632,6.144037237415456,0.47261824903195815,15,25880621.147195205,1.9807298829367963
NGC4183,9.661479502685143,0.46007045250881634,23,22160065.30528056,2.8403744066919727
F565-V2,2.278415640404155,0.455683128080831,7,11603777.464239208,4.981869937646334
UGC07323,3.2849569944004697,0.4106196243000587,10,6229066.380891419,6.751809827375888
UGC04278,9.350099659789747,0.4065260721647716,25,11349482.826248122,8.079637603092527
KK98-251,5.058053344381101,0.3890810264908539,15,7211765.10411476,3.524829333921339
UGC07089,3.884086404179418,0.38840864041794176,12,3928079.9586430592,6.685760504091749
F583-1,8.83506174866463,0.38413311950715784,25,17863232.588083826,3.174900227477251
NGC0300,8.800979675993645,0.38265129026059325,25,21119431.27835591,3.1609171693921168
UGC07866,1.7981046898987398,0.359620937979748,7,7485196.850511109,5.827239003283999
UGC07125,3.916451763560087,0.3560410694145534,13,4216576.368085335,3.6493269232186174
NGC0100,6.630959780625088,0.3489978831907941,21,8143155.605905374,6.562419064638927
UGC01281,7.4257842328934665,0.32286018403884637,25,14833975.351381768,3.2669356986008853
DDO161,8.77558685343028,0.3026064432217338,31,3596478.3924564524,6.438149847949144
F571-V1,1.4560776459554863,0.2912155291910973,7,9220168.9851794,4.619948560216397
NGC2841,12.461886200931232,0.2596226291860673,50,30525649.857251417,6.651385852361752
UGC05414,1.036250720787211,0.25906268019680273,6,9215718.25241683,5.647063920689117
UGC07524,7.448177060185114,0.2568336917305212,31,19943951.811919,2.4445476766035075
UGC07559,1.2252097962123392,0.24504195924246783,7,6256919.042072181,5.66509582729807
UGC00128,4.415202471357807,0.22076012356789035,22,21436443.256486792,3.733224330313647
UGC05005,1.9438134082231358,0.2159792675803484,11,4852244.695492899,6.711520337977401
NGC3109,4.967028804691924,0.21595777411704017,25,15911782.477625282,3.3294884312130875
UGC05750,1.6339637929081758,0.18155153254535286,11,5737464.692382062,4.716661696012875
