galaxy,fold,rho0_pred,r_core_pred,chi2_qfst,chi2_nfw,AIC_qfst,AIC_nfw,BIC_qfst,BIC_nfw
NGC6503,1,-5.113265566770039,0.010638282093875696,131.24314323715777,107.83367605542858,48.73499806219887,42.644686770243126,51.60297247116916,45.51266117921342
NGC2403,1,-9.550199866628095,0.01175043008853204,383.208713943549,241.652653095867,125.04278515769496,91.38406134021554,129.62370403999174,95.96498022251232
NGC3198,2,-121301.06655042664,0.08561083691814418,43.3168998846402,59.95275755930109,4.315737851619931,18.291340782132032,7.838138083007056,21.81374101351916
IC2574,2,-1.623499128423059e-05,0.002296570572374937,155.8362764373341,211.76934409740755,55.76314433083034,66.19066337928163,58.81586538006267,69.24338442851396
DDO154,3,-2.2765490610954105e-12,9.330713235618353e-06,159.87060596814797,38.05132443459755,35.07349750674671,17.848350899875584,36.04331080632272,18.818164199451584
NGC7331,4,-12711144766.435993,0.49336875855819967,1056.5577784629736,1078.1700298693086,125.6530930839042,126.3820549981614,128.82013096081644,129.54909287507363
NGC5055,5,-289685528.1931315,0.18042388695896203,817.7242605742712,832.2574182563872,98.48097903545036,98.97424383259158,101.14538805580078,101.638652852942
