,delta_chi2,delta_AIC,delta_BIC
mean,25.438639305682333,4.47840471799207,4.47840471799207
median,-14.533157682115984,-0.4932647971412223,-0.4932647971412223
std,76.35416402443843,16.48807559503351,16.48807559503351
